#Time TotalMass(kg) flux(inlet) flux(outlet)
5710.329373 0 0 0
5724.122526 0 0 0
5737.91568 0 0 0
5751.708833 0 0 0
5765.501986 0 0 0
5779.295139 0 0 0
5793.088292 0 0 0
5806.881445 0 0 0
5820.674598 0 0 0
5834.467752 0 0 0
5848.260905 0 0 0
5862.054058 0 0 0
5875.847211 0 0 0
5889.640364 0 0 0
5903.433517 0 0 0
5917.22667 0 0 0
5931.019824 0 0 0
5944.812977 0 0 0
5958.60613 0 0 0
5972.399283 0 0 0
5986.192436 0 0 0
5999.985589 0 0 0
6013.778742 0 0 0
6027.571896 0 0 0
6041.365049 0 0 0
6055.158202 0 0 0
6068.951355 0 0 0
6082.744508 0 0 0
6096.537661 0 0 0
6110.330814 0 0 0
6124.123968 0 0 0
6137.917121 0 0 0
6151.710274 0 0 0
6165.503427 0 0 0
6179.29658 0 0 0
6193.089733 0 0 0
6206.882886 0 0 0
6220.67604 0 0 0
6234.469193 0 0 0
6248.262346 0 0 0
6262.055499 0 0 0
6275.848652 0 0 0
6289.641805 0 0 0
6303.434958 0 0 0
6317.228111 0 0 0
6331.021265 0 0 0
6344.814418 0 0 0
6358.607571 0 0 0
6372.400724 0 0 0
6386.193877 0 0 0
6399.98703 0 0 0
6413.780183 0 0 0
6427.573337 0 0 0
6441.36649 0 0 0
6455.159643 0 0 0
6468.952796 0 0 0
6482.745949 0 0 0
6496.539102 0 0 0
6510.332255 0 0 0
6524.125409 0 0 0
6537.918562 0 0 0
6551.711715 0 0 0
6565.504868 0 0 0
6579.298021 0 0 0
6593.091174 0 0 0
6606.884327 0 0 0
6620.677481 0 0 0
6634.470634 0 0 0
6648.263787 0 0 0
6662.05694 0 0 0
6675.850093 0 0 0
6689.643246 0 0 0
6703.436399 0 0 0
6717.229553 0 0 0
6731.022706 0 0 0
6744.815859 0 0 0
6758.609012 0 0 0
6772.402165 0 0 0
6786.195318 0 0 0
6799.988471 0 0 0
6813.781625 0 0 0
6827.574778 0 0 0
6841.367931 0 0 0
6855.161084 0 0 0
6868.954237 0 0 0
6882.74739 0 0 0
6896.540543 0 0 0
6910.333697 0 0 0
6924.12685 0 0 0
6937.920003 0 0 0
6951.713156 0 0 0
6965.506309 0 0 0
6979.299462 0 0 0
6993.092615 0 0 0
7006.885769 0 0 0
7020.678922 0 0 0
7034.472075 0 0 0
7048.265228 0 0 0
7062.058381 0 0 0
7075.851534 0 0 0
7089.644687 0 0 0
7103.43784 0 0 0
7117.230994 0 0 0
7131.024147 0 0 0
7144.8173 0 0 0
7158.610453 0 0 0
7172.403606 0 0 0
7186.196759 0 0 0
7199.989912 0 0 0
7213.783066 0 0 0
7227.576219 0 0 0
7241.369372 0 0 0
7255.162525 0 0 0
7268.955678 0 0 0
7282.748831 0 0 0
7296.541984 0 0 0
7310.335138 0 0 0
7324.128291 0 0 0
7337.921444 0 0 0
7351.714597 0 0 0
7365.50775 0 0 0
7379.300903 0 0 0
7393.094056 0 0 0
7406.88721 0 0 0
7420.680363 0 0 0
7434.473516 0 0 0
7448.266669 0 0 0
7462.059822 0 0 0
7475.852975 0 0 0
7489.646128 0 0 0
7503.439282 0 0 0
7517.232435 0 0 0
7531.025588 0 0 0
7544.818741 0 0 0
7558.611894 0 0 0
7572.405047 0 0 0
7586.1982 0 0 0
7599.991354 0 0 0
7613.784507 0 0 0
7627.57766 0 0 0
7641.370813 0 0 0
7655.163966 0 0 0
7668.957119 0 0 0
7682.750272 0 0 0
7696.543426 0 0 0
7710.336579 0 0 0
7724.129732 0 0 0
7737.922885 0 0 0
7751.716038 0 0 0
7765.509191 0 0 0
7779.302344 0 0 0
7793.095498 0 0 0
7806.888651 0 0 0
7820.681804 0 0 0
7834.474957 0 0 0
7848.26811 0 0 0
7862.061263 0 0 0
7875.854416 0 0 0
7889.64757 0 0 0
7903.440723 0 0 0
7917.233876 0 0 0
7931.027029 0 0 0
7944.820182 0 0 0
7958.613335 0 0 0
7972.406488 0 0 0
7986.199641 0 0 0
7999.992795 0 0 0
8013.785948 0 0 0
8027.579101 0 0 0
8041.372254 0 0 0
8055.165407 0 0 0
8068.95856 0 0 0
8082.751713 0 0 0
8096.544867 0 0 0
8110.33802 0 0 0
8124.131173 0 0 0
8137.924326 0 0 0
8151.717479 0 0 0
8165.510632 0 0 0
8179.303785 0 0 0
8193.096939 0 0 0
8206.890092 0 0 0
8220.683245 0 0 0
8234.476398 0 0 0
8248.269551 0 0 0
8262.062704 0 0 0
8275.855857 0 0 0
8289.649011 0 0 0
8303.442164 0 0 0
8317.235317 0 0 0
8331.02847 0 0 0
8344.821623 0 0 0
8358.614776 0 0 0
8372.407929 0 0 0
8386.201083 0 0 0
8399.994236 0 0 0
8413.787389 0 0 0
8427.580542 0 0 0
8441.373695 0 0 0
8455.166848 0 0 0
8468.960001 0 0 0
8482.753155 0 0 0
8496.546308 0 0 0
8510.339461 0 0 0
8524.132614 0 0 0
8537.925767 0 0 0
8551.71892 0 0 0
8565.512073 0 0 0
8579.305227 0 0 0
8593.09838 0 0 0
8606.891533 0 0 0
8620.684686 0 0 0
8634.477839 0 0 0
8648.270992 0 0 0
8662.064145 0 0 0
8675.857299 0 0 0
8689.650452 0 0 0
8703.443605 0 0 0
8717.236758 0 0 0
8731.029911 0 0 0
8744.823064 0 0 0
8758.616217 0 0 0
8772.40937 0 0 0
8786.202524 0 0 0
8799.995677 0 0 0
8813.78883 0 0 0
8827.581983 0 0 0
8841.375136 0 0 0
8855.168289 0 0 0
8868.961442 0 0 0
8882.754596 0 0 0
8896.547749 0 0 0
8910.340902 0 0 0
8924.134055 0 0 0
8937.927208 0 0 0
8951.720361 0 0 0
8965.513514 0 0 0
8979.306668 0 0 0
8993.099821 0 0 0
9006.892974 0 0 0
9020.686127 0 0 0
9034.47928 0 0 0
9048.272433 0 0 0
9062.065586 0 0 0
9075.85874 0 0 0
9089.651893 0 0 0
9103.445046 0 0 0
9117.238199 0 0 0
9131.031352 0 0 0
9144.824505 0 0 0
9158.617658 0 0 0
9172.410812 0 0 0
9186.203965 0 0 0
9199.997118 0 0 0
9213.790271 0 0 0
9227.583424 0 0 0
9241.376577 0 0 0
9255.16973 0 0 0
9268.962884 0 0 0
9282.756037 0 0 0
9296.54919 0 0 0
9310.342343 0 0 0
9324.135496 0 0 0
9337.928649 0 0 0
9351.721802 0 0 0
9365.514956 0 0 0
9379.308109 0 0 0
9393.101262 0 0 0
9406.894415 0 0 0
9420.687568 0 0 0
9434.480721 0 0 0
9448.273874 0 0 0
9462.067028 0 0 0
9475.860181 0 0 0
9489.653334 0 0 0
9503.446487 0 0 0
9517.23964 0 0 0
9531.032793 0 0 0
9544.825946 0 0 0
9558.6191 0 0 0
9572.412253 0 0 0
9586.205406 0 0 0
9599.998559 0 0 0
9613.791712 0 0 0
9627.584865 0 0 0
9641.378018 0 0 0
9655.171171 0 0 0
9668.964325 0 0 0
9682.757478 0 0 0
9696.550631 0 0 0
9710.343784 0 0 0
9724.136937 0 0 0
9737.93009 0 0 0
9751.723243 0 0 0
9765.516397 0 0 0
9779.30955 0 0 0
9793.102703 0 0 0
9806.895856 0 0 0
9820.689009 0 0 0
9834.482162 0 0 0
9848.275315 0 0 0
9862.068469 0 0 0
9875.861622 0 0 0
9889.654775 0 0 0
9903.447928 0 0 0
9917.241081 0 0 0
9931.034234 0 0 0
9944.827387 0 0 0
9958.620541 0 0 0
9972.413694 0 0 0
9986.206847 0 0 0
10000 0 0 0
10013.7741 0 0 0
10027.54821 3.79452e-08 -1.45537e-40 0
10028.4813 4.30862e-08 -1.56112e-40 0
10028.7895 4.48418e-08 -1.59684e-40 0
10029.09446 4.65977e-08 -1.63299e-40 0
10029.39943 4.83723e-08 -1.66996e-40 0
10029.70439 5.01654e-08 -1.70777e-40 0
10030.03016 5.21008e-08 -1.74914e-40 0
10030.35593 5.40574e-08 -1.7915e-40 0
10030.6817 5.60352e-08 -1.8349e-40 0
10031.00748 5.80342e-08 -1.87934e-40 0
10031.33325 6.00545e-08 -1.92486e-40 0
10031.6894 6.22864e-08 -1.97595e-40 0
10032.04555 6.45436e-08 -2.02839e-40 0
10032.4017 6.68262e-08 -2.08222e-40 0
10032.75785 6.91342e-08 -2.13749e-40 0
10033.114 7.14676e-08 -2.19421e-40 0
10033.49362 7.39817e-08 -2.25639e-40 0
10033.87323 7.65246e-08 -2.32034e-40 0
10034.25285 7.90964e-08 -2.38609e-40 0
10034.63246 8.1697e-08 -2.45371e-40 0
10035.01208 8.43264e-08 -2.52324e-40 0
10035.4071 8.70925e-08 -2.59773e-40 0
10035.80212 8.98898e-08 -2.67442e-40 0
10036.19714 9.27183e-08 -2.75337e-40 0
10036.59215 9.5578e-08 -2.83465e-40 0
10036.98717 9.84689e-08 -2.91833e-40 0
10037.39041 1.01452e-07 -3.00633e-40 0
10037.79364 1.04467e-07 -3.09698e-40 0
10038.19688 1.07515e-07 -3.19037e-40 0
10038.60011 1.10596e-07 -3.28657e-40 0
10039.00335 1.13709e-07 -3.38567e-40 0
10039.40945 1.16876e-07 -3.48851e-40 0
10039.81556 1.20077e-07 -3.59447e-40 0
10040.22167 1.23311e-07 -3.70365e-40 0
10040.62767 1.26577e-07 -3.81612e-40 0
10041.03341 1.29874e-07 -3.93193e-40 0
10041.43876 1.33201e-07 -4.05112e-40 0
10041.84364 1.36556e-07 -4.17379e-40 0
10042.24799 1.3994e-07 -4.3e-40 0
10042.65175 1.43352e-07 -4.42983e-40 0
10043.05485 1.4679e-07 -4.56336e-40 0
10043.45723 1.50255e-07 -4.70066e-40 0
10043.85883 1.53746e-07 -4.8418e-40 0
10044.25962 1.57261e-07 -4.98688e-40 0
10044.65956 1.60802e-07 -5.13598e-40 0
10045.05864 1.64366e-07 -5.2892e-40 0
10045.45679 1.67954e-07 -5.44661e-40 0
10045.85401 1.71565e-07 -5.60832e-40 0
10046.25028 1.752e-07 -5.77441e-40 0
10046.64557 1.78856e-07 -5.94499e-40 0
10047.03985 1.82534e-07 -6.12015e-40 0
10047.43313 1.86234e-07 -6.29999e-40 0
10047.82538 1.89955e-07 -6.48462e-40 0
10048.21661 1.93697e-07 -6.67415e-40 0
10048.60679 1.9746e-07 -6.86869e-40 0
10048.99593 2.01243e-07 -7.06834e-40 0
10049.384 2.05046e-07 -7.27321e-40 0
10049.771 2.08868e-07 -7.48343e-40 0
10050.15696 2.1271e-07 -7.69912e-40 0
10050.54186 2.16571e-07 -7.9204e-40 0
10050.92569 2.20451e-07 -8.14739e-40 0
10051.30848 2.2435e-07 -8.38024e-40 0
10051.6902 2.28267e-07 -8.61905e-40 0
10052.07087 2.32202e-07 -8.86397e-40 0
10052.45049 2.36156e-07 -9.11513e-40 0
